transaction_id,event_type,date,store_number,item_number,value
8947695b-7f19-44b6-96b6-7f8ed041fe57,incoming,2019-04-14T03:47:13Z,5,12,400
d9f0b58a-2c9b-451f-a818-2d805d688e7a,incoming,2019-08-15T18:30:39Z,6,17,400
0658ba40-1dfa-4028-93cb-c36cd5632bc9,incoming,2019-06-08T14:50:04Z,6,18,400
1db083de-b07f-471f-bf1c-6d6cc5a9e341,incoming,2018-11-09T14:25:06Z,8,27,400
5c170472-1f5c-4368-87e7-066e43e3d343,incoming,2019-02-08T16:00:58Z,5,13,400
66927255-c742-4a80-af8a-8f12cd55f628,incoming,2018-12-24T05:11:42Z,6,2,400
3160c3b3-9734-42c4-8ef9-eed74245aed3,incoming,2019-04-26T11:59:35Z,5,12,400
163b793f-d297-4e6e-9cca-68b991b16089,incoming,2019-02-08T11:37:59Z,8,11,400
b893fc6f-d125-4776-b9c0-d8ee856337e8,incoming,2019-09-13T20:50:42Z,5,21,400
8c0f62c1-d4fc-460d-9d7a-eb2ab00c7d8a,incoming,2019-09-23T15:49:45Z,2,25,400
7dcd7ff2-02d3-48de-a168-9909600628d6,incoming,2019-08-28T07:05:16Z,5,14,400
8d9f1603-7c1b-4e4e-a37a-c26e414948ea,incoming,2019-03-19T06:07:56Z,5,17,400
468768e2-16e7-40e3-b43a-6d358547efb8,incoming,2019-09-06T19:16:55Z,2,12,400
ac45ecbf-0948-4a77-be64-c2b75cf5686d,incoming,2019-01-16T11:44:34Z,6,7,400
569c6acd-139f-4b56-a1a2-302597957917,incoming,2019-07-13T07:20:35Z,8,9,400
6e1a16f4-8d4d-47ca-9050-90807cbb7ba2,incoming,2019-02-25T15:48:07Z,9,14,400
b6d989d4-f7cc-4ae5-9096-9a0f0bad9287,incoming,2019-05-24T21:08:30Z,9,2,400
95eb5759-2eb6-49b4-ab84-16c8a748c8ad,incoming,2019-06-23T04:38:50Z,6,14,400
407f9c78-13a1-4745-a491-84c4bb09468c,incoming,2019-06-06T19:14:48Z,2,10,400
eb37f36a-8727-4084-96ee-23e20a396f61,incoming,2019-05-02T01:50:41Z,6,27,400
f18e3952-2c8a-4e88-8d95-eb699f3fa57b,incoming,2019-04-15T13:59:58Z,5,27,400
bfb80a9d-ef0c-49f6-a48c-523e06091cd5,incoming,2018-10-07T13:57:34Z,4,10,400
b4b7a935-88c7-4d13-94aa-842d5d5e2072,incoming,2019-09-10T08:14:02Z,3,23,400
5850a3b8-2f97-42c2-a823-a2ba241e2f22,incoming,2018-11-11T04:45:31Z,6,29,400
17c6635b-6c7f-48cb-a27f-af60c5fa278e,incoming,2019-02-20T10:41:39Z,1,25,400
7be4d929-f13f-4436-9764-676a722f54d2,incoming,2018-10-10T11:08:52Z,6,3,400
d65b4165-58ab-418a-a7b2-8a7ff8033571,incoming,2019-05-18T15:53:33Z,10,14,400
773d1221-2d14-4174-ae55-d7e5c1b151ad,incoming,2019-01-29T21:51:04Z,4,11,400
6f6e67ba-79d5-42b5-bdc0-1d8291df1ea0,incoming,2019-02-16T07:51:28Z,5,12,400
0e31b67c-bd4f-413c-82b8-2412e3cc4631,incoming,2019-01-07T23:01:46Z,8,18,400
ed5ac0ad-0e17-4dc8-873e-4fb60c586bf2,incoming,2019-05-19T13:05:25Z,8,12,400
02822810-3cf4-4fc4-a173-f67df61cd91c,incoming,2019-06-25T07:28:04Z,9,12,400
33142eaf-0527-40f7-84fd-767a2869ebc6,incoming,2018-12-24T04:27:13Z,1,30,400
78463aa3-15f4-4c9c-977a-a83987bee49f,incoming,2019-01-10T12:16:23Z,3,25,400
1f723357-d8c9-47b9-ba9e-94e779555e70,incoming,2018-12-30T06:16:25Z,5,17,400
274c35b6-689f-44d4-9fb9-21c981f8d992,incoming,2019-09-07T07:22:27Z,7,11,400
a5bb13b9-1d2b-49ea-b870-fa9f3961751d,incoming,2019-01-14T20:39:51Z,8,7,400
331129d5-0a73-4234-a595-3e5452caf139,incoming,2019-02-03T03:08:19Z,6,18,400
bc6fa34a-ed0e-405d-840d-255e4c626e2f,incoming,2019-03-01T13:55:25Z,2,23,400
18cae6b3-852e-42f1-98da-bce3c6f82533,incoming,2019-08-05T02:58:19Z,6,17,400
141eba6c-626e-44ea-9c34-5d373d136f74,incoming,2019-01-27T03:44:34Z,2,23,400
51863fe3-f35b-4c38-9a7e-85850d9c076f,incoming,2019-02-07T19:14:46Z,2,8,400
61adb052-1549-479d-b1d8-84e4258a598e,incoming,2018-12-05T01:08:20Z,8,1,400
6a038cfc-bc5d-4fe5-bed1-eb7ff32f5cd2,incoming,2018-12-31T00:00:46Z,5,23,400
2ba888c7-6a6b-4d96-ae6d-ebe5591acb49,incoming,2018-12-04T05:01:18Z,6,29,400
b1856d20-0fdb-48e1-9a38-e42df67afa3d,incoming,2019-02-22T07:58:13Z,6,14,400
ddfff531-1119-4d1c-bba3-f7c03e3701d7,incoming,2019-06-18T05:52:39Z,3,5,400
4d09c791-1903-4bb0-82cb-e1ac6c00539c,incoming,2018-12-22T18:45:37Z,8,22,400
7fcb5a24-1904-4f7f-8924-8d60b90c6c1a,incoming,2019-01-12T16:07:21Z,6,19,400
fa6ca89a-057b-47bc-a6d5-bba65f9ce62d,incoming,2019-08-12T21:34:12Z,1,10,400
cfed2bb8-2ad4-4331-b485-d44ed7d289b5,incoming,2019-09-23T02:06:43Z,9,5,400
725bf1ff-0035-4529-95a0-b049e9b581a2,incoming,2019-04-27T22:35:02Z,7,27,400
3b204807-f78a-4704-b179-f24745242918,incoming,2019-09-05T14:27:43Z,7,30,400
53d1bf22-b2a0-4179-81bf-28ca86c3a643,incoming,2019-01-04T15:12:50Z,2,1,400
4d5bfe86-aca7-41ff-a110-5dbc8013d3ff,incoming,2019-08-20T17:20:18Z,7,3,400
410be3e0-7733-4216-bc09-abcaa4dae056,incoming,2018-11-07T04:57:39Z,3,27,400
78458adf-1f5d-4e1e-a136-659c173a8957,incoming,2018-12-21T04:01:31Z,9,11,400
e442c845-dc82-4aaa-a827-aff2a1819e33,incoming,2019-02-25T01:12:05Z,1,16,400
7adf5c6d-3b4c-4235-9402-184827b0031e,incoming,2019-05-13T02:51:36Z,6,9,400
5e6f096a-9f2f-4c23-bdcc-c80dc7a0fcac,incoming,2019-02-02T10:42:04Z,9,21,400
d225aca9-3006-41b8-8d9e-41081e6ea79b,incoming,2019-06-10T01:18:45Z,1,18,400
37429d5c-b0cb-4ccf-9e0a-f0aea0778efb,incoming,2019-06-30T04:43:46Z,1,24,400
d1fa77cd-dcbb-421b-88db-47f62d9ccdf8,incoming,2018-11-20T18:46:59Z,4,9,400
f15912ee-374d-4a0d-a738-c82f2515adf2,incoming,2019-06-23T06:41:18Z,1,2,400
8204f9b1-59b7-4535-8208-1b51d16c09d0,incoming,2018-10-05T04:57:46Z,7,6,400
e184b2f5-5f52-44b0-990d-aefc1925c3a4,incoming,2019-08-13T15:07:06Z,3,15,400
0a3c7bb9-8977-4807-b1fc-983c1c34580d,incoming,2019-03-22T01:47:26Z,3,23,400
dc5538fe-b18e-4fbd-9ef5-6db35ab4d98f,incoming,2019-03-14T10:41:48Z,6,2,400
aa026717-e785-4c3a-9cb5-893292fd53b3,incoming,2019-05-01T23:18:16Z,3,11,400
10f03294-6e80-4a29-a409-fb39e9ab0447,incoming,2019-07-03T13:23:37Z,8,29,400
7463ed65-d23b-4380-a4af-4d2c0e73d5f5,incoming,2019-01-19T12:11:39Z,8,20,400
9958d225-e33f-403a-9a1f-701999f122ee,incoming,2019-06-26T09:30:33Z,5,26,400
25f2221d-1c43-4739-abe1-d0fd732fa905,incoming,2019-03-05T03:02:56Z,1,18,400
16c7a2c5-4f54-418f-833b-f236feee0e9d,incoming,2018-10-14T09:05:51Z,7,28,400
304b241d-2f2a-4507-ba1b-78ed11a5ac6e,incoming,2019-09-17T08:51:43Z,6,16,400
291a5592-dea4-435c-bc2b-e29fa2571ebd,incoming,2019-02-14T15:47:48Z,3,16,400
de4d8e91-cfb9-4b6a-9f30-4ca539cb102a,incoming,2018-11-17T14:50:48Z,5,27,400
0174030e-6a93-4403-a7c3-007b8fe5deb7,incoming,2019-01-01T15:32:36Z,9,25,400
0b585ea3-2f78-42ac-90c8-7a3f967727a3,incoming,2019-07-14T04:59:59Z,6,25,400
881564bc-963d-4720-a03c-6579e42c9875,incoming,2019-02-19T09:34:03Z,10,30,400
47eb90ef-00d8-4e13-8792-76e61f1b1bea,incoming,2019-02-22T19:42:31Z,1,18,400
7bfd47f3-0d17-4d17-85cd-e966a8db0af5,incoming,2019-06-03T23:17:48Z,10,29,400
fb6a9469-5f8c-4d32-994a-770ccf6a4c56,incoming,2019-03-07T21:10:37Z,10,10,400
f0039132-4b52-43d2-9128-62179e97fd02,incoming,2019-07-22T08:45:53Z,1,4,400
