transaction_id,event_type,date,store_number,item_number,value
7c71fb42-1f5e-45e1-be16-7d4d772d1aab,sale,2018-12-03T23:57:40Z,9,8,116
a1c66bf0-b6c3-40d2-b82b-bb29f655ed46,incoming,2019-08-11T00:35:56Z,2,22,148
2aeb32d6-a39e-459f-a77b-d81df3a71a95,sale,2018-12-13T19:21:59Z,8,8,125
ceb2c843-3cbb-42c2-9140-697ffc278ef8,incoming,2019-09-22T06:23:02Z,5,4,198
1a8e0e81-c13f-4aa9-aa8e-59c4dc38ed06,incoming,2019-01-07T11:52:27Z,7,7,155
4e4dc986-e388-4dd1-ad0f-ee8084262515,sale,2019-08-09T15:23:36Z,3,20,147
4f8073c2-1b36-4d23-8824-be322b6c2045,sale,2019-07-08T13:56:41Z,10,1,40
d9a11bdb-d7ae-4a99-85c4-bf52ff54809f,sale,2019-08-10T21:27:17Z,1,26,111
cc855c81-7ada-45ed-be6b-4e466df1fad2,sale,2019-03-15T04:20:42Z,5,4,177
a2bca883-d8b3-4c21-bf0c-ff03c606528b,incoming,2019-01-20T11:59:09Z,8,21,80
1cef9e45-6d5c-4b1e-9701-970f01b3cbbb,incoming,2019-03-15T23:25:15Z,10,18,16
c239d4e4-ba3a-46f8-8857-329ce9477933,sale,2019-06-03T01:57:23Z,1,14,45
d4c3f141-d88e-412c-807d-f9f449015c56,incoming,2019-08-17T17:13:00Z,4,30,103
3508b80e-7cfa-4fe9-a5be-c5849f1d573e,incoming,2019-05-03T02:57:16Z,8,13,82
61135514-2362-4f89-910c-ba442362945b,incoming,2019-07-09T13:40:32Z,9,18,5
f7ad19a5-65c6-45bd-9cc2-6bff0763894d,sale,2019-07-11T17:19:56Z,5,11,83
3b656d7a-a98d-4bdb-b929-874f9b4cdc9f,sale,2019-01-24T20:36:33Z,8,26,164
e2cc9029-e0d9-478f-8ced-42def52c7928,incoming,2019-04-05T03:07:54Z,8,29,22
8a508958-c057-4631-9913-2968d190e4f2,sale,2019-05-14T21:54:05Z,5,20,183
085ffe7b-5716-48ae-8a93-fb05bac8b535,incoming,2019-07-07T23:36:26Z,6,8,197
d3855c16-0919-4557-a547-ae3ca8faa955,sale,2019-08-08T14:06:07Z,6,2,131
32bd6d43-cb18-4c0b-9e65-eb551d906d11,incoming,2019-04-25T11:12:06Z,8,30,127
ddca8b5b-7ead-4a2a-a5e3-fd1ad4c8151b,incoming,2019-05-09T12:15:58Z,5,22,77
2a197b71-ec9e-4a0a-ab2f-4bf732d38297,incoming,2018-11-18T21:26:31Z,9,4,59
73ccfc31-5ffc-4507-b037-d3db50867c44,incoming,2019-05-03T22:17:15Z,7,8,198
10ba2f35-2607-4904-be22-1324fd07262a,incoming,2018-10-08T18:37:05Z,8,18,100
f824505f-2643-4428-b38c-76eb0c9f35b2,sale,2019-04-24T09:11:16Z,9,19,95
9755509c-a155-472e-bc71-f31d0075c814,sale,2019-08-31T23:08:19Z,9,16,159
0587eb35-fdaf-4b1c-a10b-9ca2e053cf60,sale,2018-12-30T18:17:21Z,10,7,168
3314b744-689b-4cb4-93a3-cf69c6fc107a,incoming,2019-06-29T05:17:46Z,7,10,26
9aaa5a44-20db-4c89-b63d-914dae976fe0,incoming,2019-05-19T19:10:40Z,1,26,52
74a787e4-370e-4d47-bcfa-0ae8520c9dcc,sale,2019-06-04T22:26:17Z,7,27,147
